left_foot_X,left_foot_Y,left_foot_Z,right_foot_X,right_foot_Y,right_foot_Z,left_ank_X,left_ank_Y,left_ank_Z,right_ank_X,right_ank_Y,right_ank_Z,left_knee_X,left_knee_Y,left_knee_Z,right_knee_X,right_knee_Y,right_knee_Z,left_hip_X,left_hip_Y,left_hip_Z,hip_central_X,hip_central_Y,hip_central_Z,right_hip_X,right_hip_Y,right_hip_Z,spine_X,spine_Y,spine_Z,left_hand_X,left_hand_Y,left_hand_Z,right_hand_X,right_hand_Y,right_hand_Z,left_wrist_X,left_wrist_Y,left_wrist_Z,right_wrist_X,right_wrist_Y,right_wrist_Z,left_elbow_X,left_elbow_Y,left_elbow_Z,right_elbow_X,right_elbow_Y,right_elbow_Z,left_shoulder_X,left_shoulder_Y,left_shoulder_Z,shoulder_center_X,shoulder_center_Y,shoulder_center_Z,right_shoulder_X,right_shoulder_Y,right_shoulder_Z,head_X,head_Y,head_Z
0.23867188433797124,0.3430194541337334,0.377704180463763,0.16513658945285015,0.34405966662701665,0.1863729571249084,0.26172379962982456,0.3587324710754204,0.3450306596272074,0.1927228135640637,0.36059227692866297,0.16520091269885845,0.16947696848573768,0.508331060418633,0.3807615507508971,0.09438351496969945,0.4598363251803139,0.28367377131319554,0.21012964398235393,0.6398037430560896,0.251220869609964,0.15591945231924184,0.6589491252086546,0.2426409166312169,0.10170926065612972,0.6780945073612196,0.23406096365246978,0.2027727104363452,0.7036342099110547,0.29525521975940994,0.5388583929499419,0.6750170720615246,0.4063269688841578,0.0064018910650307055,0.9650921584106821,0.3721170825164521,0.49131650579614855,0.6759695361266712,0.36976957205168404,0.044379199551926214,0.930486252058224,0.34957380089228823,0.4283064140548789,0.7012911979590138,0.3267395605851854,0.11157247839354967,0.8728276623751541,0.3238508388087296,0.3045861226340926,0.7532083139043529,0.33203313972036286,0.2683771273833563,0.7824412131133786,0.3420861910375445,0.23216813213261997,0.8116741123224042,0.3521392423547262,0.3041184638341589,0.8221771191461407,0.3795806527580608
0.23873601557428994,0.343017822051372,0.3777812723541281,0.1650670819452233,0.3441354144495548,0.18636470070825656,0.2618559022962535,0.358711734028946,0.3451589220998449,0.19260914382783415,0.3608726110754453,0.16524161875304877,0.1698204738203909,0.5083191558178792,0.3815914166292488,0.09433397646978857,0.45963529103532685,0.2842496083722369,0.21041573841982364,0.639528977190305,0.25188272700993586,0.15623694034095742,0.6587264899735902,0.24329864582286284,0.10205814226209113,0.6779240027568751,0.2347145646357898,0.20311350020538868,0.7033002776309246,0.2959921529480064,0.5393566580943941,0.6753978272759558,0.40714944238946077,0.006648239496757945,0.9646160703853761,0.37251041436555055,0.4917802091964769,0.6759703041654295,0.37068565028065575,0.04468295888083696,0.9300321491423745,0.35006476966853656,0.4287123225386446,0.7010253285421796,0.3276444382489318,0.11192206403503945,0.8724019128901321,0.3244633497184802,0.30495286114118464,0.7528557841142896,0.33286569373436864,0.2687315772703154,0.7820667942187034,0.34290492035390074,0.23251029339944612,0.8112778043231174,0.3529441469734329,0.30441031856231593,0.8217916404933459,0.38045905868593755
0.2387998587960743,0.3430222382742323,0.3778322509267108,0.16499920651995784,0.3442340114251526,0.18634367564724788,0.26201719043549815,0.35869445315688414,0.34526337537097473,0.19243095883590672,0.3611898110826265,0.1652404666949113,0.17017492370735,0.5083012989167486,0.38237654424992906,0.09421550649131959,0.45945998618874306,0.28478301128988176,0.2107870851594655,0.6392540193148307,0.2525887466385104,0.15661183925985644,0.6585074069177828,0.24396847162495208,0.10243659336024735,0.6777607945207347,0.2353481966113938,0.20345747184928797,0.7029941044659164,0.2967159746178003,0.5399151182765287,0.6758242807965061,0.40802529458846615,0.0068710667415120595,0.9641639835712669,0.37291843495590166,0.49224967288749266,0.6759622397584671,0.37158003141470536,0.04496751724079003,0.9295772781877665,0.3505722512780885,0.4290936537821445,0.7007903086821373,0.3285886138958117,0.11230736347879058,0.8719394255511709,0.32511835877285716,0.30531614347386427,0.7524836693358894,0.33366675815928376,0.26908621916696407,0.7816793186651371,0.3437272978543589,0.23285629486006382,0.8108749679943849,0.35378783754943416,0.30469833309668143,0.8214050865862896,0.3813296306184796
0.23889096739377857,0.343019646143423,0.37790012635197623,0.16489552128758628,0.3443656340673576,0.18629711329752544,0.2622111202219709,0.35867525218792645,0.3453816533397541,0.19223357287502157,0.36151891569056144,0.1652012967182376,0.1705501106407834,0.5082872822094094,0.38314554305668486,0.09407457137917011,0.4592695125766827,0.28529510113198353,0.21109180453682416,0.6390549052667394,0.25324004350555546,0.1569446880567381,0.6583390144200237,0.24461496824975776,0.10279757157665204,0.677623123573308,0.2359898929939601,0.20379513460338694,0.7027008782399766,0.29743595609380263,0.5404053190140188,0.6761188236603172,0.4088513202730263,0.00712624761895985,0.9636955759335439,0.3733578491304986,0.49266460582666854,0.6759958414541432,0.3726243721163145,0.045260908046463696,0.9291191430684358,0.35109566969187533,0.4294830494326066,0.7005764098879486,0.3295138445866532,0.11264594056474468,0.8715479817973534,0.32573061366968825,0.30560684614388384,0.7521100184799726,0.33453425793679253,0.2694183959299322,0.7813062438382891,0.34456810828501655,0.2332299457159806,0.8105024691966056,0.35460195863324045,0.30499218472561,0.821023524931162,0.38218514899135875
0.23898207599148286,0.3430152299205627,0.37796531364158764,0.16478492370638995,0.34446461506233456,0.18624450264258136,0.26238354492321103,0.358636850250011,0.34545500104117255,0.1919781999878842,0.36183073942643446,0.1651394695981938,0.17092817771956045,0.5082772977055515,0.3838803641386959,0.09390157064886123,0.45908883145879076,0.28574152366025,0.21143607791023566,0.6388715360131934,0.25385889073506207,0.15730777837972815,0.6581818544891049,0.24525800870015108,0.10317947884922064,0.6774921729650165,0.23665712666524005,0.20416022731313974,0.7024094623911102,0.29815121961743246,0.5409440982029717,0.6763250420669229,0.4097121957162446,0.0073417784955099935,0.9632267842764417,0.3738100319494523,0.4931248530525845,0.6759415027119929,0.37342025227961106,0.045552378755241554,0.9286686883366883,0.3516300326579681,0.42984927591385974,0.7003180928522377,0.33043229093512977,0.11303444016998876,0.8711291446611562,0.3263788383817001,0.3059563037789139,0.7517981947440996,0.33534569088494487,0.2697724617975122,0.7809736830559417,0.3453787731944105,0.23358861981611043,0.810149171367784,0.35541185550387616,0.3053017811490839,0.8206595513635999,0.383046965282056
0.23907539270061726,0.3430070695087557,0.378020516427341,0.16465464513201195,0.3445658041687416,0.18618478762912294,0.26253984081052667,0.35859883233147477,0.34554447755651546,0.19169940191861842,0.3621260503290038,0.1650496090634718,0.1713290939513972,0.508276145647414,0.38459656028081807,0.0937218495794172,0.45889662975952417,0.28613667960139944,0.21184333046182846,0.6386762621588936,0.25444663239485715,0.15770091821913704,0.6580253665920998,0.24588943256432494,0.10355850597644563,0.6773744710253059,0.2373322327337927,0.20455050072218275,0.7021586428766113,0.2988680740784903,0.5414156740005728,0.6763654601065788,0.410626641862855,0.007582846660773838,0.9627143104149608,0.3743091611375077,0.4935541867184786,0.6759868169987331,0.3744549924967414,0.04584634558998389,0.9282161214983553,0.3521916609999807,0.43024391982917026,0.7001386277957131,0.3312821258211975,0.11341692347162609,0.8707289964680779,0.3270271911001717,0.30633110669296815,0.7514844509113309,0.33620743037176626,0.27014515260498106,0.7806378581088715,0.34622476788668666,0.23395919851699398,0.8097912653064124,0.356242105401607,0.3056225141345533,0.8202948865611553,0.3839153099021989
0.23918320614131472,0.34300111720837884,0.3780755272034048,0.16453857527466267,0.3446607529602374,0.18610692769999948,0.2627038170854254,0.35856158245169684,0.34560784075407586,0.19147743871746745,0.3623714387122832,0.16495744441247484,0.17175055522001864,0.5082995708295424,0.38531006828728603,0.09354865683941876,0.4587117244284616,0.2864581038217513,0.212218901414641,0.6385180461746822,0.25504704669416434,0.15807274498300283,0.6578906717948615,0.2465360251939754,0.10392658855136468,0.6772632974150408,0.23802500369378643,0.20493874431450737,0.7019088657004273,0.29957582179427106,0.5418428955598816,0.6762681111939632,0.4115762257826579,0.007814794365782928,0.9622343821958632,0.3748241311249531,0.49396374338634624,0.6760002576770034,0.37534918162110137,0.046152793054548696,0.9277547222143019,0.3527653859524367,0.43065405252610667,0.699911288323254,0.33211211970600885,0.11378289393995984,0.8703420329403503,0.32767080757963374,0.30671397401398465,0.7511346092569215,0.33701732724240197,0.27050747488921284,0.7803051053168347,0.34702832843756626,0.234300975764441,0.809475601376748,0.3570393296327306,0.30600453661293564,0.8199328330904891,0.3848122255641509
0.23929773992114742,0.34300150122775797,0.3781268897953666,0.164415881083023,0.34472939642426115,0.18600314646278313,0.26284552023633323,0.35852010835874826,0.3456496988664036,0.191264307962037,0.3626018503397756,0.16481958145535858,0.1721902574091499,0.5083239560601187,0.38601704796430847,0.0934184742698856,0.4585208667970221,0.28672710939684865,0.21259370432869526,0.6383734628784307,0.25559869053231904,0.15840732186709072,0.6577930348677116,0.24715583247192985,0.10422093940548616,0.6772126068569925,0.23871297441154068,0.20532342201259704,0.7016588142246868,0.30031335844189183,0.5421827527104328,0.6760687091313377,0.4125637316161523,0.00803829364445048,0.9617057795204577,0.37538403137975956,0.49437272402514526,0.6759691521072919,0.37609129907131633,0.04643043906567703,0.9272850665135965,0.3533608079998149,0.43101810289754466,0.6997031498197526,0.33289283110382883,0.1141630731253222,0.8699691501231918,0.3283625544879497,0.30710029750941353,0.7508381462962147,0.33780303089215097,0.2708790136385443,0.7800078743173695,0.3478284328140336,0.23465772976767502,0.8091776023385244,0.35785383473591614,0.30634354892085275,0.8196037284825541,0.3856204327495183
0.23940305723588035,0.3429955489273811,0.37817690831950146,0.1643183401607179,0.34478968746678834,0.18589187684767328,0.26297455074772896,0.3585043635642029,0.3457003894244519,0.19096938107884676,0.3628026924750731,0.16468133447886316,0.17271386783262632,0.5083416209515598,0.38673132400953486,0.09330941276620583,0.4583317372527888,0.2869521447530328,0.21295122637068759,0.6381889415667473,0.2561382377600303,0.1587608117056019,0.6576654444289877,0.24777419967721254,0.10457039704051628,0.6771419472912281,0.2394101615943947,0.20573459704784833,0.7014148521991014,0.3010213255973178,0.5424675990849203,0.675728563966252,0.41357821481103224,0.008295874643017991,0.9611929216395977,0.375982525582171,0.49480224970072895,0.6759482230511281,0.3769442061124173,0.04673247030738159,0.9268307715880575,0.35395834215377847,0.43141492292267036,0.6995103720914173,0.33361478753663826,0.11450997063115793,0.8695395604443782,0.32896239275818817,0.30752886313654937,0.7505397632386122,0.33861100766589086,0.2713141075951257,0.7796739694671952,0.34863506551994644,0.23509935205370205,0.8088081756957783,0.35865912337400196,0.30671090185895145,0.8192676347219187,0.3864563661340606
0.23948811752836296,0.34298978863669377,0.3782223186110864,0.16424009621221528,0.34484959448993635,0.18577139076746368,0.2630755478444464,0.3584690337813208,0.34575453615691265,0.19082614185042235,0.3629628285561803,0.16452964682409735,0.17321059689956195,0.5084168887498739,0.38743580756059276,0.09321897620241508,0.45814836799924274,0.28716469947939455,0.2133262212944314,0.6380065323616491,0.2567158029062779,0.15913599863903533,0.6575463984214499,0.24841090380784978,0.10494577598363926,0.6770862644812509,0.24010600470942167,0.20614286450780026,0.7011869641275291,0.30168386874618097,0.5427819189467578,0.6753976352662662,0.4145899138654133,0.008554223680343791,0.9606766075843253,0.3765907162739061,0.49520066980660116,0.6759109731713502,0.3777978811922765,0.047028357239019734,0.9263484432478399,0.354584485751489,0.43183721623328003,0.6993259147829637,0.33435197673815414,0.11491690316660144,0.8691559250846035,0.3296765407969548,0.3079386118141066,0.7503254804250442,0.339367141823445,0.2717092635362751,0.7794070759986832,0.34940310427825433,0.23547991525844364,0.8084886715723223,0.35943906673306364,0.30708186457921416,0.8189564254170524,0.38727186968763194
