NO_OF_FRAMES	344
NO_OF_CAMERAS	16
NO_OF_MARKERS	35
FREQUENCY	100.0
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-07-08, 12:03:12.336	11520.91516330
DATA_INCLUDED	3D
MARKER_NAMES	RKneeIn	RKneeOut	HeadFront	LKneeIn	HeadL	HeadR	Chest	WaistLFront	WaistRFront	LShoulderTop	RShoulderTop	SpineThoracic2	SpineThoracic12	WaistL	WaistR	WaistBack	LHeelBack	RHeelBack	LAnkleOut	RAnkleOut	LForefoot2	RForefoot2	LForefoot5	RForefoot5	LHand2	RHand2	LWristIn	RWristIn	LWristOut	RWristOut	LElbowIn	RElbowIn	LElbowOut	RElbowOut	LKneeOut
TRAJECTORY_TYPES	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	SMPTE	RKneeIn X	RKneeIn Y	RKneeIn Z	RKneeOut X	RKneeOut Y	RKneeOut Z	HeadFront X	HeadFront Y	HeadFront Z	LKneeIn X	LKneeIn Y	LKneeIn Z	HeadL X	HeadL Y	HeadL Z	HeadR X	HeadR Y	HeadR Z	Chest X	Chest Y	Chest Z	WaistLFront X	WaistLFront Y	WaistLFront Z	WaistRFront X	WaistRFront Y	WaistRFront Z	LShoulderTop X	LShoulderTop Y	LShoulderTop Z	RShoulderTop X	RShoulderTop Y	RShoulderTop Z	SpineThoracic2 X	SpineThoracic2 Y	SpineThoracic2 Z	SpineThoracic12 X	SpineThoracic12 Y	SpineThoracic12 Z	WaistL X	WaistL Y	WaistL Z	WaistR X	WaistR Y	WaistR Z	WaistBack X	WaistBack Y	WaistBack Z	LHeelBack X	LHeelBack Y	LHeelBack Z	RHeelBack X	RHeelBack Y	RHeelBack Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LForefoot2 X	LForefoot2 Y	LForefoot2 Z	RForefoot2 X	RForefoot2 Y	RForefoot2 Z	LForefoot5 X	LForefoot5 Y	LForefoot5 Z	RForefoot5 X	RForefoot5 Y	RForefoot5 Z	LHand2 X	LHand2 Y	LHand2 Z	RHand2 X	RHand2 Y	RHand2 Z	LWristIn X	LWristIn Y	LWristIn Z	RWristIn X	RWristIn Y	RWristIn Z	LWristOut X	LWristOut Y	LWristOut Z	RWristOut X	RWristOut Y	RWristOut Z	LElbowIn X	LElbowIn Y	LElbowIn Z	RElbowIn X	RElbowIn Y	RElbowIn Z	LElbowOut X	LElbowOut Y	LElbowOut Z	RElbowOut X	RElbowOut Y	RElbowOut Z	LKneeOut X	LKneeOut Y	LKneeOut Z	
2888	28.87000	01:20:36:17	341.390	1404.503	397.656	205.778	1442.296	421.445	492.149	1329.698	1544.818	393.581	1467.508	447.204	532.220	1461.516	1500.744	344.188	1365.492	1503.723	487.242	1367.285	1200.260	535.954	1445.509	858.462	329.771	1333.164	863.980	526.589	1522.744	1287.852	331.933	1301.000	1267.777	320.173	1511.048	1314.308	298.088	1542.336	1198.117	480.791	1610.042	940.126	241.233	1432.123	947.060	310.743	1553.588	1049.553	428.845	1603.564	28.157	274.615	1592.239	24.287	486.353	1541.509	69.814	212.716	1526.396	64.066	451.372	1368.074	27.748	193.471	1385.347	31.910	490.846	1404.178	24.621	148.987	1427.860	24.128	615.452	1570.080	761.292	394.700	992.162	889.365	565.820	1536.783	814.982	459.344	1037.494	906.067	571.347	1622.176	773.594	386.612	1037.415	835.619	509.272	1574.795	979.690	391.201	1204.181	995.207	541.519	1676.934	982.593	285.621	1198.907	983.796	524.947	1501.231	442.905
2889	28.88000	01:20:36:17	341.465	1404.470	397.651	205.845	1442.300	421.432	491.834	1329.570	1544.913	393.592	1467.375	447.189	532.184	1461.302	1500.878	343.996	1365.619	1503.692	487.157	1367.043	1200.340	536.024	1445.051	858.461	329.625	1333.098	863.994	526.854	1522.455	1287.796	331.576	1301.230	1267.975	320.408	1511.312	1314.242	298.387	1542.569	1198.037	481.175	1609.710	940.080	241.245	1432.256	947.096	311.021	1553.608	1049.465	428.848	1603.574	28.136	274.593	1592.213	24.311	486.344	1541.469	69.800	212.734	1526.368	64.072	451.350	1368.073	27.819	193.465	1385.332	31.923	490.823	1404.173	24.627	148.991	1427.856	24.138	615.707	1569.525	761.190	394.904	992.469	889.264	566.039	1536.330	814.907	459.521	1037.883	905.912	571.684	1621.667	773.471	386.617	1037.759	835.620	509.573	1574.479	979.624	391.469	1204.446	995.413	542.034	1676.546	982.471	285.860	1199.045	984.147	525.023	1500.947	442.860
2890	28.89000	01:20:36:17	341.497	1404.471	397.655	205.910	1442.324	421.446	489.982	1329.168	1543.723	393.620	1467.266	447.164	532.172	1461.136	1501.064	343.803	1365.768	1503.654	487.056	1366.806	1200.412	536.068	1444.545	858.453	329.456	1333.031	864.055	527.083	1522.201	1287.729	331.215	1301.471	1268.216	320.619	1511.600	1314.193	298.680	1542.835	1197.963	481.574	1609.340	940.025	241.269	1432.412	947.119	311.345	1553.661	1049.412	428.870	1603.581	28.118	274.597	1592.214	24.333	486.333	1541.421	69.796	212.747	1526.357	64.099	451.366	1368.069	27.777	193.501	1385.324	31.888	490.776	1404.198	24.635	149.003	1427.842	24.141	615.977	1568.930	761.053	395.160	992.731	889.229	566.306	1535.839	814.817	459.693	1038.262	905.688	572.030	1621.162	773.330	386.571	1038.032	835.644	509.946	1574.138	979.503	391.771	1204.682	995.670	542.505	1676.139	982.309	286.152	1199.117	984.485	525.103	1500.650	442.830
2891	28.90000	01:20:36:17	341.544	1404.466	397.636	205.936	1442.364	421.464	491.199	1329.331	1545.214	393.611	1467.144	447.132	532.118	1460.978	1501.217	343.571	1365.971	1503.622	486.932	1366.575	1200.505	536.106	1444.020	858.448	329.233	1332.983	864.136	527.362	1521.953	1287.674	330.882	1301.769	1268.440	320.869	1511.927	1314.181	298.956	1543.064	1197.897	482.034	1608.917	939.962	241.283	1432.623	947.128	311.651	1553.763	1049.376	428.875	1603.608	28.057	274.629	1592.188	24.352	486.311	1541.377	69.785	212.752	1526.335	64.124	451.330	1368.074	27.782	193.490	1385.305	31.898	490.752	1404.191	24.644	149.002	1427.836	24.150	616.231	1568.328	760.914	395.373	992.993	889.177	566.506	1535.311	814.693	459.825	1038.633	905.424	572.367	1620.631	773.198	386.440	1038.282	835.685	510.304	1573.733	979.429	392.123	1204.889	995.928	543.072	1675.702	982.187	286.499	1199.230	984.889	525.151	1500.334	442.777
2892	28.91000	01:20:36:18	341.571	1404.465	397.688	205.976	1442.406	421.453	490.835	1329.277	1545.340	393.615	1466.990	447.115	532.112	1460.810	1501.407	343.329	1366.244	1503.583	486.786	1366.346	1200.587	536.102	1443.479	858.432	328.980	1332.958	864.181	527.632	1521.701	1287.602	330.581	1302.068	1268.647	321.098	1512.254	1314.158	299.271	1543.318	1197.824	482.488	1608.523	939.897	241.286	1432.846	947.156	311.928	1553.827	1049.326	428.917	1603.599	28.099	274.619	1592.184	24.382	486.289	1541.320	69.740	212.754	1526.322	64.170	451.317	1368.084	27.799	193.498	1385.275	31.908	490.739	1404.194	24.641	149.029	1427.821	24.168	616.513	1567.691	760.763	395.522	993.251	889.159	566.693	1534.782	814.529	459.966	1039.016	905.115	572.783	1620.040	773.089	386.288	1038.515	835.715	510.664	1573.359	979.298	392.548	1205.085	996.225	543.711	1675.218	982.077	286.841	1199.329	985.353	525.204	1500.017	442.685
2893	28.92000	01:20:36:18	341.598	1404.487	397.699	205.989	1442.449	421.483	490.474	1329.236	1545.472	393.624	1466.946	447.074	532.080	1460.684	1501.577	343.087	1366.565	1503.561	486.627	1366.123	1200.675	536.094	1442.932	858.409	328.728	1332.954	864.252	527.810	1521.519	1287.385	330.605	1302.163	1269.072	321.323	1512.594	1314.143	299.560	1543.584	1197.785	482.912	1608.166	939.799	241.264	1433.140	947.182	312.250	1553.966	1049.276	428.951	1603.619	28.030	274.648	1592.161	24.382	486.294	1541.269	69.758	212.791	1526.309	64.172	451.296	1368.099	27.775	193.507	1385.275	31.909	490.702	1404.191	24.653	149.028	1427.805	24.157	616.793	1566.975	760.638	395.591	993.538	889.090	566.960	1534.199	814.410	460.064	1039.337	904.895	573.230	1619.447	772.951	386.151	1038.838	835.708	511.106	1572.905	979.192	392.892	1205.308	996.482	544.320	1674.737	981.949	287.176	1199.467	985.756	525.264	1499.642	442.626
2894	28.93000	01:20:36:18	341.574	1404.519	397.715	206.001	1442.521	421.473	490.063	1329.233	1545.633	393.616	1466.783	447.047	532.057	1460.548	1501.769	342.810	1366.897	1503.558	486.461	1365.935	1200.745	536.095	1442.377	858.391	328.415	1332.959	864.311	528.061	1521.270	1287.310	330.335	1302.474	1269.337	321.585	1512.928	1314.115	299.863	1543.883	1197.706	483.361	1607.772	939.743	241.191	1433.287	947.263	312.536	1554.075	1049.230	428.996	1603.645	28.011	274.644	1592.150	24.411	486.272	1541.196	69.731	212.784	1526.266	64.172	451.290	1368.094	27.784	193.518	1385.267	31.890	490.666	1404.175	24.651	149.040	1427.801	24.165	617.076	1566.201	760.484	395.477	993.727	888.964	567.220	1533.605	814.281	460.068	1039.461	904.828	573.690	1618.800	772.822	386.058	1039.174	835.761	511.459	1572.453	979.096	393.268	1205.543	996.775	544.969	1674.214	981.769	287.451	1199.606	986.195	525.311	1499.273	442.530
2895	28.94000	01:20:36:18	341.542	1404.553	397.756	205.977	1442.627	421.478	489.569	1329.245	1545.764	393.589	1466.653	447.017	532.017	1460.473	1501.954	342.550	1367.263	1503.525	486.320	1365.755	1200.823	536.065	1441.816	858.368	328.064	1333.004	864.376	528.308	1521.017	1287.246	330.034	1302.794	1269.524	321.830	1513.290	1314.064	300.195	1544.169	1197.652	483.831	1607.380	939.661	241.138	1433.622	947.293	312.851	1554.245	1049.185	429.038	1603.658	28.022	274.644	1592.143	24.411	486.277	1541.122	69.725	212.780	1526.282	64.168	451.254	1368.098	27.792	193.508	1385.252	31.910	490.663	1404.181	24.668	149.035	1427.791	24.184	617.442	1565.354	760.327	395.315	993.798	888.896	567.427	1532.934	814.141	459.919	1039.424	904.948	574.188	1618.109	772.681	385.956	1039.500	835.845	511.817	1572.068	978.945	393.602	1205.706	997.147	545.658	1673.670	981.578	287.791	1199.784	986.594	525.358	1498.808	442.453
2896	28.95000	01:20:36:19	341.479	1404.600	397.719	205.955	1442.775	421.504	489.140	1329.320	1545.964	393.563	1466.452	446.970	531.978	1460.390	1502.155	342.272	1367.673	1503.526	486.159	1365.539	1200.879	536.415	1441.108	858.500	327.680	1333.089	864.431	528.683	1520.734	1287.324	329.625	1303.232	1269.681	322.088	1513.668	1314.007	300.514	1544.499	1197.596	484.311	1607.018	939.562	241.072	1433.988	947.348	313.157	1554.395	1049.148	429.085	1603.672	27.995	274.632	1592.140	24.421	486.262	1541.050	69.723	212.768	1526.273	64.179	451.237	1368.116	27.833	193.486	1385.239	31.915	490.591	1404.190	24.671	149.044	1427.790	24.185	617.783	1564.480	760.251	395.155	993.841	888.729	567.558	1532.263	813.955	459.814	1039.350	905.027	574.705	1617.359	772.535	385.869	1039.810	835.930	512.208	1571.600	978.833	393.932	1205.813	997.589	546.283	1673.160	981.401	288.100	1199.933	987.071	525.395	1498.375	442.391
2897	28.96000	01:20:36:19	341.426	1404.632	397.764	205.892	1442.925	421.508	488.724	1329.397	1546.172	393.567	1466.289	446.930	531.949	1460.356	1502.344	342.030	1368.058	1503.528	486.014	1365.330	1200.932	536.374	1440.566	858.466	327.304	1333.182	864.484	528.953	1520.425	1287.199	329.256	1303.629	1269.947	322.367	1514.073	1313.941	300.859	1544.848	1197.469	484.772	1606.665	939.481	241.008	1434.365	947.388	313.485	1554.580	1049.107	429.116	1603.691	28.004	274.629	1592.133	24.442	486.264	1540.976	69.678	212.776	1526.271	64.190	451.218	1368.117	27.839	193.500	1385.248	31.869	490.589	1404.189	24.672	149.037	1427.784	24.147	618.110	1563.541	760.152	395.108	993.934	888.679	567.831	1531.552	813.876	459.838	1039.345	905.125	575.217	1616.579	772.435	385.807	1040.167	836.118	512.621	1571.192	978.714	394.251	1205.889	998.174	547.004	1672.599	981.224	288.444	1200.019	987.590	525.430	1497.924	442.289
