NO_OF_FRAMES	1592
NO_OF_CAMERAS	13
NO_OF_MARKERS	58
FREQUENCY	100.0
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2016-05-26, 16:01:39.212	1310851.58625936
DATA_INCLUDED	3D
MARKER_NAMES	ARIEL	LFHD	RFHD	C7	T5	T10	BWT	FWT	CLAV	STRN	LBSH	LSHO	LFUPA	LBUPA	LIEL	LELB	LOWR	LIWR	RSHO	RBSH	RFUPA	RBUPA	RIEL	RELB	RFRM	ROWR	RIWR	LFWT	RFWT	LBWT	RBWT	LFTHI	LBTHI	LKNE	LKNI	LSHN	LANK	LHEL	LMT5	RFTHI	RBTHI	RKNE	RKNI	RSHN	RANK	RHEL	RMT5	RTHMB	RINDX	RPNKY	LTHMB	LINDX	LPNKY	LFRM	RBHD	LBHD	RPLM	LPLM
TRAJECTORY_TYPES	Measured	Mixed	Measured	Measured	Measured	Mixed	Measured	Mixed	Mixed	Mixed	Measured	Measured	Mixed	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Measured	Measured	Mixed	Measured	Mixed	Mixed	Measured	Measured	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured
Frame	Time	SMPTE	ARIEL X	ARIEL Y	ARIEL Z	LFHD X	LFHD Y	LFHD Z	RFHD X	RFHD Y	RFHD Z	C7 X	C7 Y	C7 Z	T5 X	T5 Y	T5 Z	T10 X	T10 Y	T10 Z	BWT X	BWT Y	BWT Z	FWT X	FWT Y	FWT Z	CLAV X	CLAV Y	CLAV Z	STRN X	STRN Y	STRN Z	LBSH X	LBSH Y	LBSH Z	LSHO X	LSHO Y	LSHO Z	LFUPA X	LFUPA Y	LFUPA Z	LBUPA X	LBUPA Y	LBUPA Z	LIEL X	LIEL Y	LIEL Z	LELB X	LELB Y	LELB Z	LOWR X	LOWR Y	LOWR Z	LIWR X	LIWR Y	LIWR Z	RSHO X	RSHO Y	RSHO Z	RBSH X	RBSH Y	RBSH Z	RFUPA X	RFUPA Y	RFUPA Z	RBUPA X	RBUPA Y	RBUPA Z	RIEL X	RIEL Y	RIEL Z	RELB X	RELB Y	RELB Z	RFRM X	RFRM Y	RFRM Z	ROWR X	ROWR Y	ROWR Z	RIWR X	RIWR Y	RIWR Z	LFWT X	LFWT Y	LFWT Z	RFWT X	RFWT Y	RFWT Z	LBWT X	LBWT Y	LBWT Z	RBWT X	RBWT Y	RBWT Z	LFTHI X	LFTHI Y	LFTHI Z	LBTHI X	LBTHI Y	LBTHI Z	LKNE X	LKNE Y	LKNE Z	LKNI X	LKNI Y	LKNI Z	LSHN X	LSHN Y	LSHN Z	LANK X	LANK Y	LANK Z	LHEL X	LHEL Y	LHEL Z	LMT5 X	LMT5 Y	LMT5 Z	RFTHI X	RFTHI Y	RFTHI Z	RBTHI X	RBTHI Y	RBTHI Z	RKNE X	RKNE Y	RKNE Z	RKNI X	RKNI Y	RKNI Z	RSHN X	RSHN Y	RSHN Z	RANK X	RANK Y	RANK Z	RHEL X	RHEL Y	RHEL Z	RMT5 X	RMT5 Y	RMT5 Z	RTHMB X	RTHMB Y	RTHMB Z	RINDX X	RINDX Y	RINDX Z	RPNKY X	RPNKY Y	RPNKY Z	LTHMB X	LTHMB Y	LTHMB Z	LINDX X	LINDX Y	LINDX Z	LPNKY X	LPNKY Y	LPNKY Z	LFRM X	LFRM Y	LFRM Z	RBHD X	RBHD Y	RBHD Z	LBHD X	LBHD Y	LBHD Z	RPLM X	RPLM Y	RPLM Z	LPLM X	LPLM Y	LPLM Z	
162	1.61000	06:36:00:11	-146.853	1799.796	-262.099	-198.709	1766.800	-409.977	-75.024	1746.826	-384.112	-143.897	1490.058	-191.860	-142.431	1281.506	-144.855	-145.153	1101.315	-171.198	-157.028	995.791	-149.932	-161.189	987.995	-441.732	-165.320	1137.256	-439.738	-156.428	1295.889	-418.782	-229.252	1351.781	-147.997	-303.180	1496.268	-230.057	-422.913	1490.149	-314.200	-439.044	1377.603	-261.383	-613.056	1531.586	-323.122	-595.231	1457.833	-289.194	-805.625	1445.075	-335.599	-790.124	1524.743	-376.644	1.190	1507.376	-242.152	-65.294	1364.904	-143.704	113.214	1495.331	-332.400	161.332	1400.656	-262.259	315.272	1556.927	-322.453	304.666	1483.146	-290.962	300.052	1429.573	-358.653	512.511	1488.634	-339.240	488.844	1570.721	-371.801	-280.429	978.863	-391.704	-26.953	997.580	-383.340	-283.743	979.051	-182.617	-41.325	1004.818	-165.654	-303.833	782.228	-383.659	-321.468	887.555	-244.951	-322.692	450.512	-282.843	-224.664	440.697	-273.718	-314.985	307.731	-276.163	-342.783	55.085	-216.851	-311.358	19.500	-169.017	-372.595	7.934	-337.554	21.279	724.430	-343.386	2.963	888.641	-220.682	9.992	480.740	-260.170	-89.475	471.287	-270.782	-2.707	310.709	-247.691	4.283	53.397	-170.631	-50.031	22.685	-144.002	70.116	7.321	-288.856	559.939	1615.939	-421.939	687.746	1537.877	-396.475	641.052	1471.438	-421.891	-879.081	1562.930	-404.367	-977.838	1471.999	-393.316	-919.874	1413.089	-397.517	-590.875	1404.673	-342.120	-97.829	1658.618	-239.454	-232.759	1680.838	-273.708	610.805	1502.082	-378.965	-898.073	1439.800	-377.106
163	1.62000	06:36:00:11	-146.971	1799.790	-262.259	-198.865	1766.759	-410.110	-75.111	1746.806	-384.262	-143.878	1490.077	-191.901	-142.435	1281.505	-144.881	-145.091	1101.298	-171.273	-156.989	995.756	-149.918	-161.184	987.960	-441.768	-165.312	1137.205	-439.768	-156.415	1295.848	-418.820	-229.213	1351.733	-147.994	-303.258	1496.094	-230.076	-422.856	1489.979	-314.304	-439.027	1377.334	-261.516	-613.073	1531.274	-323.435	-595.294	1457.537	-289.466	-805.649	1444.783	-336.131	-790.122	1524.440	-377.128	1.303	1507.226	-242.274	-65.256	1364.890	-143.751	113.300	1494.961	-332.663	161.377	1400.465	-262.467	315.288	1556.639	-322.957	304.741	1482.908	-291.236	300.017	1429.209	-358.905	512.589	1488.524	-339.671	488.850	1570.413	-372.552	-280.411	978.858	-391.696	-26.958	997.569	-383.351	-283.736	979.059	-182.605	-41.307	1004.828	-165.654	-303.814	782.230	-383.678	-321.449	887.552	-244.960	-322.705	450.508	-282.832	-224.672	440.683	-273.705	-314.972	307.733	-276.164	-342.776	55.099	-216.852	-311.355	19.519	-169.008	-372.601	7.939	-337.555	21.264	724.442	-343.425	2.984	888.627	-220.686	9.978	480.741	-260.216	-89.506	471.282	-270.784	-2.710	310.709	-247.711	4.263	53.388	-170.635	-50.061	22.709	-143.997	70.105	7.326	-288.868	559.945	1615.291	-422.836	687.797	1537.678	-397.071	641.198	1470.994	-421.917	-879.026	1562.641	-405.001	-977.796	1471.660	-393.970	-919.772	1412.768	-398.102	-590.797	1404.358	-342.409	-97.877	1658.646	-239.632	-232.853	1680.800	-273.841	610.990	1501.854	-379.255	-898.044	1439.495	-377.686
164	1.63000	06:36:00:12	-147.128	1799.798	-262.430	-199.020	1766.712	-410.253	-75.216	1746.837	-384.340	-143.854	1490.086	-191.936	-142.409	1281.491	-144.906	-145.073	1101.286	-171.349	-157.005	995.778	-149.900	-161.135	987.930	-441.787	-165.296	1137.176	-439.798	-156.399	1295.811	-418.890	-229.216	1351.714	-148.008	-303.398	1495.887	-230.111	-423.238	1489.273	-314.990	-439.025	1377.047	-261.681	-613.157	1530.881	-323.752	-595.377	1457.088	-289.777	-805.697	1444.390	-336.772	-790.147	1524.064	-377.647	1.477	1506.959	-242.374	-65.222	1364.864	-143.801	113.471	1494.540	-332.898	161.470	1400.161	-262.648	315.383	1556.237	-323.615	304.860	1482.623	-291.553	300.259	1428.663	-358.964	512.713	1488.387	-340.034	488.878	1569.989	-373.365	-280.372	978.844	-391.684	-26.968	997.585	-383.330	-283.734	979.044	-182.588	-41.285	1004.844	-165.645	-303.797	782.217	-383.680	-321.457	887.540	-244.961	-322.679	450.513	-282.876	-224.673	440.694	-273.704	-314.992	307.745	-276.188	-342.776	55.106	-216.851	-311.360	19.512	-169.009	-372.591	7.941	-337.554	21.267	724.454	-343.443	3.003	888.639	-220.674	9.993	480.758	-260.223	-89.466	471.274	-270.771	-2.698	310.725	-247.739	4.240	53.421	-170.614	-50.041	22.698	-144.006	70.123	7.322	-288.879	559.956	1614.663	-424.052	687.963	1537.421	-397.706	641.488	1470.408	-421.915	-878.992	1562.229	-405.659	-977.786	1471.131	-394.730	-919.621	1412.370	-398.829	-590.760	1404.000	-342.719	-97.944	1658.669	-239.799	-232.920	1680.744	-273.975	611.113	1501.574	-379.604	-898.019	1439.094	-378.390
165	1.64000	06:36:00:12	-147.262	1799.792	-262.593	-199.230	1766.637	-410.385	-75.310	1746.848	-384.555	-143.830	1490.081	-191.904	-142.455	1281.472	-144.932	-145.066	1101.245	-171.406	-156.994	995.753	-149.864	-161.105	987.894	-441.799	-165.234	1137.122	-439.789	-156.363	1295.770	-418.926	-229.238	1351.653	-148.007	-303.565	1495.603	-230.134	-423.390	1488.899	-315.216	-439.076	1376.682	-261.856	-613.294	1530.387	-324.126	-595.504	1456.521	-290.140	-805.791	1443.886	-337.452	-790.197	1523.594	-378.243	1.720	1506.606	-242.439	-65.197	1364.815	-143.840	113.790	1494.078	-333.152	161.527	1399.985	-262.959	315.548	1555.785	-324.428	305.122	1482.282	-291.905	300.392	1428.084	-359.088	512.904	1488.151	-340.500	489.009	1569.420	-374.346	-280.348	978.847	-391.662	-26.933	997.572	-383.315	-283.756	979.052	-182.573	-41.306	1004.863	-165.618	-303.786	782.240	-383.685	-321.427	887.539	-244.959	-322.698	450.495	-282.884	-224.672	440.699	-273.765	-314.977	307.737	-276.208	-342.775	55.099	-216.847	-311.334	19.519	-169.013	-372.590	7.931	-337.555	21.273	724.466	-343.458	3.003	888.677	-220.639	9.993	480.749	-260.232	-89.468	471.269	-270.800	-2.687	310.733	-247.743	4.257	53.413	-170.625	-49.994	22.682	-143.997	70.120	7.320	-288.884	559.945	1613.900	-425.460	688.189	1537.033	-398.524	641.801	1469.721	-421.947	-879.063	1561.771	-406.408	-977.809	1470.508	-395.627	-919.491	1411.841	-399.681	-590.801	1403.559	-343.124	-97.955	1658.708	-239.991	-232.969	1680.684	-274.094	611.352	1501.241	-380.045	-898.038	1438.568	-379.187
166	1.65000	06:36:00:12	-147.397	1799.803	-262.763	-199.459	1766.585	-410.501	-75.477	1746.872	-384.816	-143.822	1490.086	-191.853	-142.482	1281.432	-144.941	-145.069	1101.201	-171.452	-157.020	995.763	-149.835	-161.068	987.877	-441.793	-165.204	1137.108	-439.761	-156.322	1295.748	-418.954	-229.280	1351.544	-148.004	-303.802	1495.266	-230.192	-423.570	1488.484	-315.447	-439.231	1376.215	-262.037	-613.505	1529.689	-324.575	-595.753	1455.829	-290.564	-805.944	1443.239	-338.268	-790.290	1522.970	-379.025	2.017	1506.188	-242.480	-65.155	1364.751	-143.879	114.086	1493.565	-333.394	161.745	1399.668	-263.144	315.825	1555.108	-325.309	305.529	1481.901	-292.256	300.649	1427.321	-359.171	513.253	1487.835	-341.112	489.077	1568.684	-375.853	-280.310	978.845	-391.641	-26.916	997.584	-383.246	-283.774	979.063	-182.540	-41.307	1004.894	-165.591	-303.777	782.261	-383.692	-321.446	887.550	-244.950	-323.097	450.570	-283.685	-224.643	440.716	-273.787	-314.961	307.736	-276.237	-342.793	55.114	-216.863	-311.355	19.530	-169.013	-372.591	7.936	-337.555	21.299	724.479	-343.446	2.997	888.690	-220.622	10.009	480.759	-260.266	-89.656	471.417	-271.096	-2.657	310.743	-247.746	4.239	53.377	-170.672	-50.011	22.680	-144.018	70.115	7.315	-288.889	559.898	1612.989	-427.175	688.457	1536.536	-399.454	642.131	1468.910	-422.053	-879.145	1561.138	-407.293	-977.881	1469.724	-396.675	-919.452	1411.148	-400.658	-590.836	1402.958	-343.599	-98.005	1658.721	-240.193	-233.027	1680.639	-274.202	611.606	1500.823	-380.579	-898.086	1437.908	-380.114
167	1.66000	06:36:00:12	-147.522	1799.814	-262.939	-199.657	1766.520	-410.658	-75.580	1746.891	-384.990	-143.839	1490.075	-191.743	-142.493	1281.349	-144.956	-145.117	1101.151	-171.478	-157.058	995.767	-149.781	-161.036	987.867	-441.749	-165.158	1137.060	-439.725	-156.282	1295.736	-418.964	-229.321	1351.435	-148.025	-303.518	1494.508	-232.464	-423.807	1487.927	-315.703	-439.419	1375.562	-262.245	-613.718	1528.805	-325.180	-596.058	1454.998	-291.052	-806.200	1442.461	-339.139	-790.444	1522.123	-379.856	2.350	1505.739	-242.523	-65.109	1364.635	-143.881	114.513	1492.945	-333.688	162.237	1399.195	-263.131	316.163	1554.344	-326.273	306.054	1481.390	-292.659	300.866	1426.389	-359.273	513.704	1487.417	-341.782	489.336	1567.897	-377.234	-280.298	978.864	-391.611	-26.908	997.585	-383.191	-283.779	979.072	-182.494	-41.327	1004.914	-165.535	-303.754	782.294	-383.684	-321.445	887.543	-244.938	-322.704	450.535	-283.061	-224.654	440.737	-273.768	-314.950	307.735	-276.280	-342.783	55.141	-216.876	-311.360	19.537	-169.020	-372.583	7.953	-337.563	21.308	724.495	-343.418	2.994	888.721	-220.587	10.016	480.784	-260.258	-89.462	471.324	-270.903	-2.698	310.752	-247.763	4.233	53.421	-170.675	-50.034	22.700	-144.034	70.116	7.323	-288.864	560.031	1611.746	-429.060	688.658	1536.073	-400.655	642.611	1467.856	-422.327	-879.321	1560.313	-408.312	-977.990	1468.807	-397.897	-919.547	1410.297	-401.764	-590.941	1402.178	-344.109	-98.008	1658.776	-240.390	-233.066	1680.603	-274.299	611.912	1500.266	-381.293	-898.233	1437.085	-381.112
168	1.67000	06:36:00:13	-147.628	1799.836	-263.151	-199.910	1766.409	-410.798	-75.745	1746.908	-385.314	-143.881	1490.060	-191.580	-142.522	1281.264	-144.933	-145.176	1101.099	-171.460	-157.074	995.763	-149.733	-161.002	987.874	-441.717	-165.134	1137.045	-439.662	-156.217	1295.710	-418.976	-229.384	1351.322	-148.015	-303.668	1494.077	-232.798	-424.141	1487.201	-315.950	-439.659	1374.859	-262.433	-613.984	1527.701	-325.879	-596.402	1454.034	-291.586	-806.476	1441.491	-340.045	-790.601	1521.092	-380.910	2.737	1505.232	-242.601	-65.055	1364.508	-143.874	114.983	1492.069	-333.913	162.605	1398.605	-263.095	316.531	1553.307	-327.420	306.750	1480.619	-293.033	301.369	1425.162	-359.186	513.590	1487.049	-343.085	489.632	1566.794	-378.828	-280.254	978.869	-391.581	-26.867	997.624	-383.089	-283.824	979.091	-182.463	-41.362	1004.943	-165.445	-303.722	782.345	-383.705	-321.471	887.553	-244.923	-322.669	450.531	-283.036	-224.612	440.734	-273.795	-314.921	307.731	-276.314	-342.777	55.124	-216.869	-311.332	19.530	-169.026	-372.562	7.938	-337.564	21.305	724.544	-343.377	2.986	888.732	-220.501	10.021	480.777	-260.264	-89.441	471.331	-270.918	-2.682	310.771	-247.787	4.266	53.436	-170.665	-50.058	22.737	-144.047	70.101	7.320	-288.871	560.018	1610.282	-431.238	688.879	1535.356	-402.113	642.985	1466.727	-422.871	-879.347	1559.252	-409.618	-978.138	1467.747	-399.302	-919.658	1409.232	-402.949	-591.072	1401.055	-344.528	-98.027	1658.847	-240.556	-233.117	1680.564	-274.383	612.373	1499.380	-382.234	-898.390	1436.058	-382.223
169	1.68000	06:36:00:13	-147.736	1799.861	-263.375	-200.133	1766.339	-410.959	-75.849	1746.884	-385.463	-143.978	1490.067	-191.417	-142.548	1281.171	-144.916	-145.234	1101.022	-171.447	-157.121	995.736	-149.670	-160.950	987.840	-441.671	-165.077	1136.992	-439.594	-156.161	1295.675	-418.990	-229.422	1351.183	-147.998	-303.954	1493.611	-232.927	-424.445	1486.277	-316.248	-439.856	1373.924	-262.444	-614.315	1526.514	-326.678	-596.841	1452.862	-292.122	-806.904	1439.975	-340.886	-790.741	1519.758	-382.168	3.160	1504.647	-242.651	-65.034	1364.368	-143.870	115.340	1490.891	-334.284	163.121	1397.866	-262.886	316.948	1551.847	-328.545	307.425	1479.572	-293.380	301.805	1423.702	-359.360	513.970	1486.159	-344.141	489.778	1565.462	-380.500	-280.234	978.868	-391.555	-26.878	997.642	-382.995	-283.842	979.085	-182.421	-41.410	1004.979	-165.372	-303.680	782.346	-383.705	-321.501	887.552	-244.909	-322.664	450.562	-283.102	-224.621	440.711	-273.830	-314.912	307.741	-276.348	-342.763	55.130	-216.876	-311.325	19.539	-169.028	-372.564	7.955	-337.567	21.341	724.572	-343.294	2.976	888.741	-220.424	10.028	480.795	-260.266	-89.446	471.356	-270.916	-2.701	310.760	-247.786	4.186	53.444	-170.663	-50.058	22.732	-144.055	70.120	7.328	-288.886	560.068	1608.542	-433.538	689.339	1534.047	-403.842	643.454	1465.194	-423.725	-879.363	1557.812	-411.240	-978.325	1466.637	-400.734	-919.890	1407.904	-404.153	-591.172	1399.562	-343.864	-98.092	1658.886	-240.720	-233.158	1680.545	-274.477	612.755	1498.381	-383.462	-898.489	1434.807	-383.497
170	1.69000	06:36:00:13	-147.858	1799.876	-263.590	-199.565	1766.687	-411.580	-75.511	1746.813	-383.875	-144.113	1490.084	-191.254	-142.570	1281.085	-144.851	-145.308	1100.957	-171.428	-157.155	995.718	-149.590	-160.893	987.801	-441.603	-165.019	1136.938	-439.482	-156.099	1295.589	-418.980	-229.445	1351.024	-147.940	-304.268	1493.195	-233.008	-424.717	1485.274	-316.660	-440.347	1372.957	-262.219	-614.609	1524.835	-327.706	-597.303	1451.425	-292.676	-807.168	1438.435	-342.010	-790.880	1517.996	-383.729	3.536	1503.961	-242.631	-65.039	1364.251	-143.830	115.810	1489.490	-334.780	163.489	1396.994	-262.501	317.306	1550.196	-329.852	308.248	1478.100	-293.877	302.249	1421.748	-359.339	514.552	1484.789	-345.437	490.033	1563.694	-382.543	-280.166	978.860	-391.522	-26.843	997.653	-382.861	-283.894	979.084	-182.393	-41.469	1005.009	-165.263	-303.636	782.366	-383.711	-321.518	887.564	-244.890	-322.654	450.552	-283.140	-224.574	440.717	-273.866	-314.917	307.753	-276.370	-342.754	55.143	-216.888	-311.316	19.564	-169.034	-372.558	7.950	-337.566	21.378	724.618	-343.229	2.969	888.758	-220.303	10.051	480.817	-260.248	-89.446	471.342	-270.930	-2.707	310.745	-247.806	4.176	53.430	-170.707	-50.111	22.745	-144.070	70.108	7.334	-288.892	560.005	1606.248	-436.284	689.546	1532.854	-405.845	643.851	1463.304	-424.711	-879.342	1555.949	-413.302	-978.508	1465.041	-402.448	-920.138	1406.121	-405.336	-591.174	1397.903	-343.891	-98.177	1658.943	-240.900	-233.263	1680.516	-274.561	613.259	1496.858	-384.835	-898.849	1433.123	-384.632
171	1.70000	06:36:00:13	-148.059	1799.879	-263.802	-200.004	1766.638	-411.512	-75.717	1746.745	-384.064	-144.233	1490.084	-191.126	-142.632	1280.998	-144.759	-145.373	1100.894	-171.372	-157.223	995.685	-149.534	-160.832	987.765	-441.544	-164.953	1136.836	-439.315	-155.997	1295.536	-418.952	-229.483	1350.854	-147.862	-304.528	1492.736	-233.026	-425.382	1484.016	-317.489	-440.594	1371.588	-261.762	-614.936	1522.978	-328.982	-597.757	1449.800	-293.225	-807.461	1436.558	-343.185	-790.993	1515.786	-385.941	3.934	1503.150	-242.631	-65.096	1364.138	-143.766	116.402	1487.923	-335.064	164.091	1395.719	-261.751	317.842	1548.007	-331.410	309.132	1476.355	-294.405	302.777	1419.316	-359.298	515.142	1483.048	-346.787	490.389	1561.369	-384.831	-280.102	978.843	-391.472	-26.857	997.662	-382.764	-283.936	979.083	-182.348	-41.524	1005.056	-165.166	-303.595	782.387	-383.727	-321.569	887.540	-244.899	-322.562	450.681	-282.721	-224.569	440.728	-273.867	-314.904	307.740	-276.401	-342.747	55.160	-216.899	-311.320	19.551	-169.042	-372.542	7.975	-337.572	21.385	724.646	-343.161	2.972	888.768	-220.205	10.042	480.835	-260.247	-89.448	471.360	-270.973	-2.709	310.756	-247.804	4.153	53.421	-170.697	-50.121	22.754	-144.085	70.098	7.336	-288.909	559.957	1603.361	-439.455	689.989	1531.006	-408.348	644.309	1460.901	-425.824	-879.230	1553.442	-415.932	-978.756	1463.048	-404.312	-920.501	1403.792	-406.484	-591.217	1395.933	-344.080	-98.299	1658.977	-241.052	-233.354	1680.466	-274.671	613.699	1495.063	-386.415	-899.153	1430.971	-385.885
172	1.71000	06:36:00:14	-148.289	1799.858	-264.001	-200.321	1766.564	-411.644	-75.960	1746.707	-384.204	-144.305	1490.039	-191.042	-142.734	1280.894	-144.641	-145.428	1100.825	-171.317	-157.279	995.660	-149.438	-160.764	987.718	-441.454	-164.835	1136.730	-439.107	-155.898	1295.468	-418.942	-229.538	1350.728	-147.767	-304.946	1492.428	-232.789	-425.903	1482.892	-318.084	-440.563	1370.187	-261.430	-615.354	1520.661	-330.681	-598.197	1447.930	-293.856	-807.765	1434.143	-344.460	-791.098	1512.801	-388.333	4.635	1502.654	-242.138	-65.219	1364.018	-143.669	117.032	1485.879	-335.507	164.233	1394.361	-260.868	318.387	1545.280	-333.091	310.098	1474.284	-295.010	303.284	1416.217	-358.957	515.861	1480.723	-348.242	490.625	1558.359	-387.587	-280.038	978.835	-391.433	-26.810	997.675	-382.624	-284.002	979.096	-182.297	-41.579	1005.093	-165.085	-303.524	782.399	-383.730	-321.608	887.520	-244.892	-322.501	450.704	-282.682	-224.564	440.730	-273.872	-314.912	307.741	-276.432	-342.751	55.161	-216.907	-311.310	19.552	-169.057	-372.528	7.957	-337.578	21.416	724.677	-343.064	2.974	888.814	-220.072	10.055	480.825	-260.232	-89.436	471.368	-270.978	-2.696	310.756	-247.807	4.183	53.457	-170.659	-50.138	22.755	-144.083	70.096	7.336	-288.907	559.852	1599.542	-443.150	690.340	1528.572	-411.337	644.847	1457.663	-427.129	-879.013	1549.990	-419.218	-978.955	1460.354	-406.426	-920.818	1400.657	-407.662	-591.174	1393.471	-344.415	-98.470	1658.981	-241.207	-232.777	1680.203	-274.824	614.232	1492.583	-388.218	-899.518	1428.125	-387.195
173	1.72000	06:36:00:14	-148.578	1799.829	-264.183	-200.506	1766.487	-411.834	-76.240	1746.689	-384.412	-144.372	1489.943	-190.964	-142.865	1280.802	-144.524	-145.472	1100.756	-171.273	-157.340	995.634	-149.352	-160.659	987.690	-441.363	-164.728	1136.641	-438.837	-155.810	1295.404	-418.909	-229.541	1350.593	-147.626	-305.144	1492.186	-232.776	-426.378	1481.443	-318.585	-440.502	1369.245	-260.652	-615.829	1517.906	-332.571	-598.641	1445.822	-294.526	-808.082	1431.121	-345.823	-790.935	1508.628	-391.640	5.002	1501.888	-242.014	-65.399	1363.910	-143.492	117.531	1483.725	-335.944	164.732	1392.734	-259.634	319.094	1542.003	-335.221	311.093	1471.869	-295.564	303.862	1412.645	-358.431	516.549	1477.721	-349.882	490.959	1554.534	-390.883	-279.912	978.814	-391.378	-26.755	997.693	-382.466	-284.043	979.110	-182.248	-41.661	1005.178	-164.977	-303.471	782.403	-383.722	-321.657	887.501	-244.877	-322.996	450.632	-283.883	-224.530	440.741	-273.950	-314.872	307.726	-276.485	-342.751	55.163	-216.924	-311.310	19.556	-169.042	-372.538	7.984	-337.585	21.431	724.714	-342.973	2.949	888.844	-219.955	10.056	480.853	-260.165	-89.432	471.384	-270.939	-2.696	310.765	-247.797	4.211	53.453	-170.651	-50.143	22.760	-144.111	70.099	7.353	-288.920	559.762	1594.578	-447.594	690.593	1525.249	-414.789	645.358	1453.470	-428.468	-878.766	1545.491	-423.224	-979.218	1456.575	-408.831	-921.152	1396.497	-408.711	-591.155	1390.718	-344.598	-98.638	1658.992	-241.357	-232.918	1680.102	-274.984	614.910	1489.091	-390.218	-899.812	1424.381	-388.551
174	1.73000	06:36:00:14	-148.880	1799.784	-264.380	-201.119	1766.187	-411.958	-76.647	1746.736	-384.688	-144.377	1489.811	-190.938	-143.009	1280.700	-144.433	-145.526	1100.683	-171.227	-157.393	995.636	-149.245	-160.556	987.685	-441.242	-164.599	1136.577	-438.526	-155.537	1295.163	-418.530	-229.502	1350.505	-147.372	-305.250	1491.993	-232.767	-426.897	1479.865	-319.068	-440.427	1368.499	-259.607	-616.434	1514.513	-334.675	-599.136	1443.377	-295.258	-808.431	1427.323	-347.304	-791.144	1503.576	-394.896	5.309	1501.035	-242.003	-65.592	1363.767	-143.208	118.027	1481.391	-336.343	165.185	1391.113	-258.134	319.857	1538.134	-337.379	312.179	1469.057	-296.096	304.293	1408.475	-357.751	517.176	1473.888	-351.682	491.380	1549.530	-394.716	-279.823	978.833	-391.325	-26.716	997.729	-382.328	-284.100	979.190	-182.199	-41.750	1005.285	-164.854	-303.389	782.442	-383.728	-321.706	887.521	-244.853	-322.562	450.601	-283.358	-224.509	440.732	-273.949	-314.874	307.738	-276.529	-342.752	55.198	-216.930	-311.312	19.573	-169.052	-372.518	7.976	-337.587	21.459	724.761	-342.862	2.972	888.879	-219.807	10.072	480.871	-260.143	-89.384	471.393	-270.906	-2.669	310.788	-247.748	4.218	53.459	-170.726	-50.142	22.753	-144.107	70.102	7.340	-288.910	559.830	1588.133	-452.456	691.632	1520.683	-417.981	646.036	1447.870	-429.620	-878.525	1539.629	-428.020	-979.316	1451.568	-411.542	-921.243	1391.071	-409.639	-591.051	1387.528	-344.579	-98.854	1658.985	-241.511	-233.115	1679.980	-275.162	615.575	1485.017	-392.079	-900.054	1419.566	-389.949
175	1.74000	06:36:00:14	-149.284	1799.784	-264.593	-201.493	1766.037	-412.133	-77.038	1746.784	-384.926	-144.412	1489.686	-190.839	-143.171	1280.578	-144.364	-145.549	1100.560	-171.195	-157.447	995.675	-149.136	-160.420	987.678	-441.094	-164.505	1136.501	-438.154	-155.397	1295.101	-418.404	-229.461	1350.438	-146.970	-305.194	1492.096	-232.962	-427.483	1477.825	-319.900	-440.440	1367.799	-258.273	-617.120	1510.622	-336.878	-599.660	1440.444	-295.968	-808.718	1422.548	-348.848	-791.498	1497.503	-398.219	5.596	1499.764	-242.176	-65.791	1363.611	-142.820	118.617	1478.761	-336.795	165.353	1389.585	-256.786	320.905	1533.723	-339.799	313.342	1465.791	-296.646	304.716	1403.495	-356.844	517.854	1468.926	-353.546	491.520	1542.482	-399.381	-279.684	978.865	-391.262	-26.663	997.753	-382.147	-284.124	979.304	-182.142	-41.797	1005.430	-164.721	-303.289	782.480	-383.721	-321.780	887.547	-244.840	-322.481	450.727	-283.023	-224.481	440.788	-274.040	-314.833	307.745	-276.609	-342.768	55.195	-216.974	-311.305	19.585	-169.069	-372.515	7.982	-337.596	21.471	724.815	-342.740	2.972	888.951	-219.635	10.094	480.908	-260.107	-89.331	471.412	-270.902	-2.650	310.802	-247.766	4.146	53.460	-170.679	-50.133	22.786	-144.110	70.107	7.341	-288.897	559.828	1579.252	-458.766	692.060	1514.371	-422.075	647.053	1440.660	-430.175	-877.695	1532.260	-433.970	-979.342	1444.986	-414.615	-921.220	1384.199	-410.452	-590.602	1383.947	-344.080	-99.097	1659.059	-241.650	-233.328	1679.860	-275.329	616.979	1479.099	-393.707	-900.204	1413.490	-391.375
